external_id,typ_code,typ_label,name,address,lat,lng,disposal_positive,wertstoffinsel_glas,wertstoffinsel_kleider,wertstoffinsel_papier,google_maps_url
AS,1,Recyclinghof,Recyclinghof Asgardstraße,"Asgardstraße 3, 13089 Berlin (Pankow)",52.580672,13.4358179,"[""Restabfall-Tonne"", ""Wertstoff-Tonne"", ""Papier-Tonne"", ""Glas-Tonne / Glas-Iglu"", ""Laub- und Garten-Tonne"", ""Recyclinghöfe"", ""Sperrmüllabfuhr""]",,,,"https://www.google.com/maps?q=52.580672,13.4358179"
BE,2,Recyclinghof mit Schadstoff-Annahme,Recyclinghof Behmstraße,"Behmstraße 74, 10439 Berlin (Pankow)",52.55112,13.402742,"[""Restabfall-Tonne"", ""Wertstoff-Tonne"", ""Papier-Tonne"", ""Glas-Tonne / Glas-Iglu"", ""Laub- und Garten-Tonne"", ""Recyclinghöfe"", ""Recyclinghöfe mit Schadstoff-Annahme"", ""Sperrmüllabfuhr""]",,,,"https://www.google.com/maps?q=52.55112,13.402742"
BL,1,Recyclinghof,Recyclinghof Berliner Straße,"Berliner Straße 110, 10713 Berlin (Charlottenburg-Wilmersdorf)",52.486285,13.315145,"[""Restabfall-Tonne"", ""Wertstoff-Tonne"", ""Papier-Tonne"", ""Glas-Tonne / Glas-Iglu"", ""Laub- und Garten-Tonne"", ""Recyclinghöfe"", ""Sperrmüllabfuhr""]",,,,"https://www.google.com/maps?q=52.486285,13.315145"
BR,2,Recyclinghof mit Schadstoff-Annahme,Recyclinghof Brunsbütteler Damm,"Brunsbütteler Damm 47, 13581 Berlin (Spandau)",52.534001,13.179359,"[""Restabfall-Tonne"", ""Wertstoff-Tonne"", ""Papier-Tonne"", ""Glas-Tonne / Glas-Iglu"", ""Laub- und Garten-Tonne"", ""Recyclinghöfe"", ""Recyclinghöfe mit Schadstoff-Annahme"", ""Sperrmüllabfuhr""]",,,,"https://www.google.com/maps?q=52.534001,13.179359"
FI,1,Recyclinghof,Recyclinghof Fischerstraße,"Fischerstraße 16, 10317 Berlin (Lichtenberg)",52.497862,13.491858,"[""Restabfall-Tonne"", ""Wertstoff-Tonne"", ""Papier-Tonne"", ""Glas-Tonne / Glas-Iglu"", ""Laub- und Garten-Tonne"", ""Recyclinghöfe"", ""Sperrmüllabfuhr""]",,,,"https://www.google.com/maps?q=52.497862,13.491858"
HE,4,Recyclinghof Plus (Schadstoffe + Gebrauchtwaren),Recyclinghof Hegauer Weg,"Hegauer Weg 17, 14163 Berlin (Steglitz-Zehlendorf)",52.429453,13.248029,"[""Restabfall-Tonne"", ""Wertstoff-Tonne"", ""Papier-Tonne"", ""Glas-Tonne / Glas-Iglu"", ""Laub- und Garten-Tonne"", ""Recyclinghöfe"", ""Recyclinghöfe mit Schadstoff-Annahme"", ""Sperrmüllabfuhr""]",,,,"https://www.google.com/maps?q=52.429453,13.248029"
IL,1,Recyclinghof,Recyclinghof Ilsenburger Straße,"Ilsenburger Straße 18 - 20, 10589 Berlin (Charlottenburg-Wilmersdorf)",52.527016,13.310619,"[""Restabfall-Tonne"", ""Biogut-Tonne"", ""Wertstoff-Tonne"", ""Papier-Tonne"", ""Glas-Tonne / Glas-Iglu"", ""Laub- und Garten-Tonne"", ""Recyclinghöfe"", ""Sperrmüllabfuhr""]",,,,"https://www.google.com/maps?q=52.527016,13.310619"
LE,3,Recyclinghof Plus (Gebrauchtwaren),Recyclinghof Lengeder Straße,"Lengeder Straße 6 - 18, 13407 Berlin (Reinickendorf)",52.581536,13.347314,"[""Restabfall-Tonne"", ""Wertstoff-Tonne"", ""Papier-Tonne"", ""Glas-Tonne / Glas-Iglu"", ""Laub- und Garten-Tonne"", ""Recyclinghöfe"", ""Sperrmüllabfuhr""]",,,,"https://www.google.com/maps?q=52.581536,13.347314"
NO,2,Recyclinghof mit Schadstoff-Annahme,Recyclinghof Nordring,"Nordring 5, 12681 Berlin (Marzahn-Hellersdorf)",52.562513,13.548074,"[""Restabfall-Tonne"", ""Wertstoff-Tonne"", ""Papier-Tonne"", ""Glas-Tonne / Glas-Iglu"", ""Laub- und Garten-Tonne"", ""Recyclinghöfe"", ""Recyclinghöfe mit Schadstoff-Annahme"", ""Sperrmüllabfuhr""]",,,,"https://www.google.com/maps?q=52.562513,13.548074"
OB,2,Recyclinghof mit Schadstoff-Annahme,Recyclinghof Oberspreestraße,"Oberspreestraße 109, 12555 Berlin (Treptow-Köpenick)",52.446156,13.561788,"[""Restabfall-Tonne"", ""Wertstoff-Tonne"", ""Papier-Tonne"", ""Glas-Tonne / Glas-Iglu"", ""Laub- und Garten-Tonne"", ""Recyclinghöfe"", ""Recyclinghöfe mit Schadstoff-Annahme"", ""Sperrmüllabfuhr""]",,,,"https://www.google.com/maps?q=52.446156,13.561788"
OS,3,Recyclinghof Plus (Gebrauchtwaren),Recyclinghof Ostpreußendamm,"Ostpreußendamm 1; Zufahrt über Wiesenweg 5, 12207 Berlin (Steglitz-Zehlendorf)",52.441486,13.327519,"[""Restabfall-Tonne"", ""Wertstoff-Tonne"", ""Papier-Tonne"", ""Glas-Tonne / Glas-Iglu"", ""Laub- und Garten-Tonne"", ""Recyclinghöfe"", ""Sperrmüllabfuhr""]",,,,"https://www.google.com/maps?q=52.441486,13.327519"
GR,4,Recyclinghof Plus (Schadstoffe + Gebrauchtwaren),Recyclinghof Plus Gradestraße,"Gradestraße 73, 12347 Berlin (Neukölln)",52.45206,13.428438,"[""Restabfall-Tonne"", ""Wertstoff-Tonne"", ""Papier-Tonne"", ""Glas-Tonne / Glas-Iglu"", ""Laub- und Garten-Tonne"", ""Recyclinghöfe"", ""Recyclinghöfe mit Schadstoff-Annahme"", ""Sperrmüllabfuhr""]",,,,"https://www.google.com/maps?q=52.45206,13.428438"
RA,3,Recyclinghof Plus (Gebrauchtwaren),Recyclinghof Rahnsdorfer Straße,"Rahnsdorfer Straße 76, 12623 Berlin (Marzahn-Hellersdorf)",52.497963,13.614384,"[""Restabfall-Tonne"", ""Wertstoff-Tonne"", ""Papier-Tonne"", ""Glas-Tonne / Glas-Iglu"", ""Laub- und Garten-Tonne"", ""Recyclinghöfe"", ""Sperrmüllabfuhr""]",,,,"https://www.google.com/maps?q=52.497963,13.614384"
RU,1,Recyclinghof,Recyclinghof Ruppiner Chaussee,"Ruppiner Chaussee 341; Zufahrt über Am Dachsbau, 13503 Berlin (Reinickendorf)",52.61964,13.235082,"[""Restabfall-Tonne"", ""Wertstoff-Tonne"", ""Papier-Tonne"", ""Glas-Tonne / Glas-Iglu"", ""Laub- und Garten-Tonne"", ""Recyclinghöfe"", ""Sperrmüllabfuhr""]",,,,"https://www.google.com/maps?q=52.61964,13.235082"
