"canonical_key","title_key","text","lang"
surfbrett,item.surfbrett.title,Surfbrett,de
styropor,item.styropor.title,Styropor®,de
s_dfr_chte,item.s_dfr_chte.title,Südfrüchte,de
super_8_filme,item.super_8_filme.title,Super-8-Filme,de
kuchen,item.kuchen.title,Kuchen,de
stubben,item.stubben.title,Stubben,de
draht,item.draht.title,Draht,de
nitrolacke,item.nitrolacke.title,Nitrolacke,de
terrassenfliesen_aus_kunststoff_wpc,item.terrassenfliesen_aus_kunststoff_wpc.title,"Terrassenfliesen aus Kunststoff (""WPC"")",de
elektromotoren_kleintechnik,item.elektromotoren_kleintechnik.title,Elektromotoren (Kleintechnik),de
streusalz,item.streusalz.title,Streusalz,de
streu,item.streu.title,Streu,de
kuscheltiere,item.kuscheltiere.title,Kuscheltiere,de
kunststofft_te,item.kunststofft_te.title,Kunststofftüte,de
kupplungstr_ger_f_r_fahrr_der,item.kupplungstr_ger_f_r_fahrr_der.title,Kupplungsträger für Fahrräder,de
tuben,item.tuben.title,Tuben,de
kunststoffverpackung,item.kunststoffverpackung.title,Kunststoffverpackung,de
kunststoff,item.kunststoff.title,Kunststoff,de
sonnencremes,item.sonnencremes.title,Sonnencremes,de
kunststoffputze,item.kunststoffputze.title,Kunststoffputze,de
duschwanne,item.duschwanne.title,Duschwanne,de
fu_bodenbel_ge,item.fu_bodenbel_ge.title,Fußbodenbeläge,de
frostschutzmittel,item.frostschutzmittel.title,Frostschutzmittel,de
f_llschaum,item.f_llschaum.title,Füllschaum,de
fugenkleber,item.fugenkleber.title,Fugenkleber,de
frittierfette_speise_le,item.frittierfette_speise_le.title,Frittierfette/Speiseöle,de
fotos_fotopapier,item.fotos_fotopapier.title,Fotos/Fotopapier,de
fotonegative_negative,item.fotonegative_negative.title,Fotonegative/ Negative,de
fotokopierger_te,item.fotokopierger_te.title,Fotokopiergeräte,de
f_n,item.f_n.title,Fön,de
folien_pe_folien,item.folien_pe_folien.title,"Folien, PE-Folien",de
fotochemikalien,item.fotochemikalien.title,Fotochemikalien,de
floor_flex_platten,item.floor_flex_platten.title,Floor Flex-Platten,de
fliesenkleber_fl_ssig_angemischt,item.fliesenkleber_fl_ssig_angemischt.title,Fliesenkleber flüssig / angemischt,de
holzfensterrahmen,item.holzfensterrahmen.title,Holzfensterrahmen,de
fleischreste,item.fleischreste.title,Fleischreste,de
fl_ssigkleber,item.fl_ssigkleber.title,Flüssigkleber,de
fliesenkleber_ausgeh_rtet_pulverf_rmig,item.fliesenkleber_ausgeh_rtet_pulverf_rmig.title,Fliesenkleber ausgehärtet / pulverförmig,de
fleisch_und_speisen_verdorben,item.fleisch_und_speisen_verdorben.title,"Fleisch und Speisen, verdorben",de
fischreste,item.fischreste.title,Fischreste,de
fleckentferner,item.fleckentferner.title,Fleckentferner,de
flaschen,item.flaschen.title,Flaschen,de
tauchsieder,item.tauchsieder.title,Tauchsieder,de
filtermaterialien_f_r_pool_teichfilter,item.filtermaterialien_f_r_pool_teichfilter.title,Filtermaterialien für Pool-/Teichfilter,de
feuerzeug,item.feuerzeug.title,Feuerzeug,de
feuerschutzt_ren,item.feuerschutzt_ren.title,Feuerschutztüren,de
fermacellplatten,item.fermacellplatten.title,Fermacellplatten,de
fernseher_tv_ger_t,item.fernseher_tv_ger_t.title,Fernseher / TV-Gerät,de
feuerl_scher,item.feuerl_scher.title,Feuerlöscher,de
bleimennige,item.bleimennige.title,Bleimennige,de
fenster_rahmen,item.fenster_rahmen.title,Fenster/-rahmen,de
federbetten,item.federbetten.title,Federbetten,de
felgenreiniger,item.felgenreiniger.title,Felgenreiniger,de
fensterglas,item.fensterglas.title,Fensterglas,de
federn,item.federn.title,Federn,de
faserzementplatten,item.faserzementplatten.title,Faserzementplatten,de
farb_und_lackreste,item.farb_und_lackreste.title,Farb- und Lackreste,de
faltzelt,item.faltzelt.title,Faltzelt,de
fahrradhelm,item.fahrradhelm.title,Fahrradhelm,de
fallobst,item.fallobst.title,Fallobst,de
fahrradfahrer_airbag_h_vding,item.fahrradfahrer_airbag_h_vding.title,Fahrradfahrer-Airbag (Hövding),de
fahrradbatterien,item.fahrradbatterien.title,Fahrradbatterien,de
blumenk_sten_eternit_asbestzement,item.blumenk_sten_eternit_asbestzement.title,Blumenkästen (Eternit / Asbestzement),de
fahrradanh_nger,item.fahrradanh_nger.title,Fahrradanhänger,de
fahrkarten_bustickets,item.fahrkarten_bustickets.title,Fahrkarten/Bustickets,de
corona_schnelltests,item.corona_schnelltests.title,Corona-Schnelltests,de
elektroaltger_te,item.elektroaltger_te.title,Elektroaltgeräte,de
co2_zylinder,item.co2_zylinder.title,CO2-Zylinder,de
computer,item.computer.title,Computer,de
chlor,item.chlor.title,Chlor,de
ceran_glas,item.ceran_glas.title,Ceran-Glas,de
chips_t_te,item.chips_t_te.title,Chips-Tüte,de
chemietoilette,item.chemietoilette.title,Chemietoilette,de
campingtoilette,item.campingtoilette.title,Campingtoilette,de
besenschrank,item.besenschrank.title,Besenschrank,de
plexigl_ser,item.plexigl_ser.title,Plexigläser,de
cd_cd_rom_dvd_u_blu_ray,item.cd_cd_rom_dvd_u_blu_ray.title,CD/CD-Rom/DVD u. Blu Ray,de
duschreiniger,item.duschreiniger.title,Duschreiniger,de
cam_corder,item.cam_corder.title,Cam-Corder,de
duschabtrennungen_duschkabine,item.duschabtrennungen_duschkabine.title,"Duschabtrennungen, Duschkabine",de
dvd_player,item.dvd_player.title,DVD-Player,de
durchschlagpapier_kohlepapier,item.durchschlagpapier_kohlepapier.title,Durchschlagpapier (Kohlepapier),de
waschbecken,item.waschbecken.title,Waschbecken,de
dunstabzugshauben_filter,item.dunstabzugshauben_filter.title,Dunstabzugshauben Filter,de
dunstabzugshaube,item.dunstabzugshaube.title,Dunstabzugshaube,de
druckerkartuschen,item.druckerkartuschen.title,Druckerkartuschen,de
drei_d_drucker,item.drei_d_drucker.title,Drei-D-Drucker,de
d_ngemittelreste,item.d_ngemittelreste.title,Düngemittelreste,de
speisereste,item.speisereste.title,Speisereste,de
domestos,item.domestos.title,Domestos,de
riesenb_renklau,item.riesenb_renklau.title,Riesenbärenklau,de
signalrakete,item.signalrakete.title,Signalrakete,de
diskette,item.diskette.title,Diskette,de
diesel,item.diesel.title,Diesel,de
dicke_ste,item.dicke_ste.title,Dicke Äste,de
diabetis_sensor,item.diabetis_sensor.title,Diabetis-Sensor,de
dias,item.dias.title,Dias,de
dia_projektoren,item.dia_projektoren.title,Dia-Projektoren,de
d_mmstoffe,item.d_mmstoffe.title,Dämmstoffe,de
desinfektionsmittel_gel,item.desinfektionsmittel_gel.title,"Desinfektionsmittel, -gel",de
dekorationsschwerter,item.dekorationsschwerter.title,Dekorationsschwerter,de
deckenputz_lehmputz,item.deckenputz_lehmputz.title,Deckenputz/Lehmputz,de
d_mmstoffe_hbcd_belastet,item.d_mmstoffe_hbcd_belastet.title,"Dämmstoffe, HBCD-belastet",de
d_mmschaum,item.d_mmschaum.title,Dämmschaum,de
dachpappe,item.dachpappe.title,Dachpappe,de
hygieneartikel,item.hygieneartikel.title,Hygieneartikel,de
d_mmholzwolle,item.d_mmholzwolle.title,Dämmholzwolle,de
kartons,item.kartons.title,Kartons,de
dachschindel,item.dachschindel.title,Dachschindel,de
dachziegel,item.dachziegel.title,Dachziegel,de
dachpfannen,item.dachpfannen.title,Dachpfannen,de
babynahrungsgl_ser,item.babynahrungsgl_ser.title,Babynahrungsgläser,de
hundekot,item.hundekot.title,Hundekot,de
h_hnerstall,item.h_hnerstall.title,Hühnerstall,de
holzwurmtod,item.holzwurmtod.title,Holzwurmtod,de
holzschutzmittel,item.holzschutzmittel.title,Holzschutzmittel,de
holzwolle_leichtbauplatte_sauerkrautplatten,item.holzwolle_leichtbauplatte_sauerkrautplatten.title,Holzwolle-Leichtbauplatte/ Sauerkrautplatten,de
milchkartons,item.milchkartons.title,Milchkartons,de
holzwolle,item.holzwolle.title,Holzwolle,de
holzst_mme,item.holzst_mme.title,Holzstämme,de
holzsp_ne,item.holzsp_ne.title,Holzspäne,de
holzpaletten,item.holzpaletten.title,Holzpaletten,de
baustellenabf_lle,item.baustellenabf_lle.title,Baustellenabfälle,de
holzm_bel,item.holzm_bel.title,Holzmöbel,de
holzlasur,item.holzlasur.title,Holzlasur,de
holzkohle,item.holzkohle.title,Holzkohle,de
holzfenster,item.holzfenster.title,Holzfenster,de
holzbretter,item.holzbretter.title,Holzbretter,de
holzabfall,item.holzabfall.title,Holzabfall,de
holz_behandelt,item.holz_behandelt.title,"Holz, behandelt",de
hifi_anlage,item.hifi_anlage.title,Hifi-Anlage,de
heu_stroh,item.heu_stroh.title,Heu/Stroh,de
herkulesstaude,item.herkulesstaude.title,Herkulesstaude,de
herd,item.herd.title,Herd,de
heraklithplatten,item.heraklithplatten.title,Heraklithplatten,de
helme,item.helme.title,Helme,de
heliumflaschen,item.heliumflaschen.title,Heliumflaschen,de
heizungen,item.heizungen.title,Heizungen,de
heizpilze_mit_gasbetrieben,item.heizpilze_mit_gasbetrieben.title,Heizpilze (mit Gasbetrieben),de
heizk_rper,item.heizk_rper.title,Heizkörper,de
heiz_ltank,item.heiz_ltank.title,Heizöltank,de
durchlauferhitzer,item.durchlauferhitzer.title,Durchlauferhitzer,de
heizkessel,item.heizkessel.title,Heizkessel,de
mikrowelle,item.mikrowelle.title,Mikrowelle,de
heimsolarien,item.heimsolarien.title,Heimsolarien,de
heckenschere,item.heckenschere.title,Heckenschere,de
halonl_scher,item.halonl_scher.title,Halonlöscher,de
heckenschnitt,item.heckenschnitt.title,Heckenschnitt,de
hartkunststoff_pe_pp,item.hartkunststoff_pe_pp.title,Hartkunststoff PE/PP,de
handy,item.handy.title,Handy,de
hannoccino,item.hannoccino.title,Hannoccino,de
k_chenabf_lle,item.k_chenabf_lle.title,Küchenabfälle,de
hammondorgel,item.hammondorgel.title,Hammondorgel,de
h_ckselgut,item.h_ckselgut.title,Häckselgut,de
haarf_rbemittelreste,item.haarf_rbemittelreste.title,Haarfärbemittelreste,de
haare,item.haare.title,Haare,de
estrichstaub,item.estrichstaub.title,Estrichstaub,de
estrich_estrichbeton,item.estrich_estrichbeton.title,Estrich/Estrichbeton,de
erde_mit_gr_erem_stein_findling_und_wurzelanteil,item.erde_mit_gr_erem_stein_findling_und_wurzelanteil.title,"Erde mit größerem Stein-, Findling- und Wurzelanteil",de
erde,item.erde.title,Erde,de
epoxidharz,item.epoxidharz.title,Epoxidharz,de
entwicklerfl_ssigkeit,item.entwicklerfl_ssigkeit.title,Entwicklerflüssigkeit,de
essensreste,item.essensreste.title,Essensreste,de
entkalker,item.entkalker.title,Entkalker,de
energiesparlampen,item.energiesparlampen.title,Energiesparlampen,de
engelshaar,item.engelshaar.title,Engelshaar,de
elektronische_diabetes_pflaster,item.elektronische_diabetes_pflaster.title,Elektronische Diabetes Pflaster,de
elektrokabel,item.elektrokabel.title,Elektrokabel,de
elektroheizpilze,item.elektroheizpilze.title,Elektroheizpilze,de
elektroherd,item.elektroherd.title,Elektroherd,de
einwegkaffeebecher,item.einwegkaffeebecher.title,Einwegkaffeebecher,de
elektroheizk_rper,item.elektroheizk_rper.title,Elektroheizkörper,de
elektroheizger_te,item.elektroheizger_te.title,Elektroheizgeräte,de
einwickelpapier_f_r_bioabfall,item.einwickelpapier_f_r_bioabfall.title,Einwickelpapier (für Bioabfall),de
einmachgl_ser_mit_und_ohne_inhalt,item.einmachgl_ser_mit_und_ohne_inhalt.title,Einmachgläser (mit und ohne Inhalt),de
einmalhandschuhe,item.einmalhandschuhe.title,Einmalhandschuhe,de
eierkohlen,item.eierkohlen.title,Eierkohlen,de
eicheln,item.eicheln.title,Eicheln,de
ec_karten,item.ec_karten.title,EC-Karten,de
e_zigarette,item.e_zigarette.title,E-Zigarette,de
trinkhalme,item.trinkhalme.title,Trinkhalme,de
eierschalen,item.eierschalen.title,Eierschalen,de
e_scooter,item.e_scooter.title,E-Scooter,de
e_mobil,item.e_mobil.title,E-Mobil,de
e_bike_akkus,item.e_bike_akkus.title,E-Bike-Akkus,de
e_bikes,item.e_bikes.title,E-Bikes,de
gummimaterial,item.gummimaterial.title,Gummimaterial,de
grundwasserw_rmepumpe,item.grundwasserw_rmepumpe.title,Grundwasserwärmepumpe,de
gr_ngut,item.gr_ngut.title,Grüngut,de
halogenlampen,item.halogenlampen.title,Halogenlampen,de
gr_nabfall,item.gr_nabfall.title,Grünabfall,de
grillkohle,item.grillkohle.title,Grillkohle,de
grillkohlenasche,item.grillkohlenasche.title,Grillkohlenasche,de
grillanz_nder,item.grillanz_nder.title,Grillanzünder,de
grill,item.grill.title,Grill,de
grassoden,item.grassoden.title,Grassoden,de
grabkr_nze_grabgestecke,item.grabkr_nze_grabgestecke.title,Grabkränze/ Grabgestecke,de
w_schetrockner,item.w_schetrockner.title,Wäschetrockner,de
grabsteine,item.grabsteine.title,Grabsteine,de
gl_hlampen,item.gl_hlampen.title,Glühlampen,de
chlorbleichlauge,item.chlorbleichlauge.title,Chlorbleichlauge,de
glykol,item.glykol.title,Glykol,de
goretex_sympatex_kleidung,item.goretex_sympatex_kleidung.title,"Goretex®-, Sympatex®-Kleidung",de
akkumulatoren,item.akkumulatoren.title,Akkumulatoren,de
glyphosat,item.glyphosat.title,Glyphosat,de
glaswolle_faser,item.glaswolle_faser.title,Glaswolle/-faser,de
glast_r,item.glast_r.title,Glastür,de
glasfaserverst_rkte_kunststoffe_gfk,item.glasfaserverst_rkte_kunststoffe_gfk.title,Glasfaserverstärkte Kunststoffe (GFK),de
glasfasertapete,item.glasfasertapete.title,Glasfasertapete,de
glasfaserkabel,item.glasfaserkabel.title,Glasfaserkabel,de
bidets,item.bidets.title,Bidets,de
gipskarton,item.gipskarton.title,Gipskarton,de
gipsfaserplatte,item.gipsfaserplatte.title,Gipsfaserplatte,de
gfk_welldachplatten,item.gfk_welldachplatten.title,GFK-Welldachplatten,de
giftige_pflanzen,item.giftige_pflanzen.title,Giftige Pflanzen,de
getr_nkedose,item.getr_nkedose.title,Getränkedose,de
gesichtssolarien,item.gesichtssolarien.title,Gesichtssolarien,de
wellplatten_eternit_asbestzement,item.wellplatten_eternit_asbestzement.title,Wellplatten (Eternit / Asbestzement),de
getriebe_l,item.getriebe_l.title,Getriebeöl,de
geschenkband,item.geschenkband.title,Geschenkband,de
geschenkpapier,item.geschenkpapier.title,Geschenkpapier,de
geschirr,item.geschirr.title,Geschirr,de
gem_sereste_roh,item.gem_sereste_roh.title,Gemüsereste (roh),de
geldspielautomat,item.geldspielautomat.title,Geldspielautomat,de
geh_ckseltes_pflanzenmaterial,item.geh_ckseltes_pflanzenmaterial.title,Gehäckseltes Pflanzenmaterial,de
gefrierschr_nke,item.gefrierschr_nke.title,Gefrierschränke,de
gefrierger_t,item.gefrierger_t.title,Gefriergerät,de
gasherd,item.gasherd.title,Gasherd,de
gasofen_gastherme,item.gasofen_gastherme.title,"Gasofen, Gastherme",de
gask_hlschrank_absorberk_hlschrank,item.gask_hlschrank_absorberk_hlschrank.title,Gaskühlschrank/Absorberkühlschrank,de
gaskartuschen_gaspatronen,item.gaskartuschen_gaspatronen.title,Gaskartuschen/ Gaspatronen,de
gasflasche,item.gasflasche.title,Gasflasche,de
gasfeuerzeug,item.gasfeuerzeug.title,Gasfeuerzeug,de
gasbetonsteine,item.gasbetonsteine.title,Gasbetonsteine,de
gasdrucklampen,item.gasdrucklampen.title,Gasdrucklampen,de
gartenkalk,item.gartenkalk.title,Gartenkalk,de
japanischer_staudenkn_terich,item.japanischer_staudenkn_terich.title,Japanischer Staudenknöterich,de
jakobsstaude,item.jakobsstaude.title,Jakobsstaude,de
schl_ssel,item.schl_ssel.title,Schlüssel,de
jakobskreuzkraut,item.jakobskreuzkraut.title,Jakobskreuzkraut,de
isolierschaum,item.isolierschaum.title,Isolierschaum,de
isoliermaterial,item.isoliermaterial.title,Isoliermaterial,de
insektizide_insektenspray_insektenvernichter,item.insektizide_insektenspray_insektenvernichter.title,"Insektizide, Insektenspray, Insektenvernichter",de
inliner,item.inliner.title,Inliner,de
kunstharz,item.kunstharz.title,Kunstharz,de
kraftstoff,item.kraftstoff.title,Kraftstoff,de
kunstrasen,item.kunstrasen.title,Kunstrasen,de
wasserlacke,item.wasserlacke.title,Wasserlacke,de
k_hlger_t,item.k_hlger_t.title,Kühlgerät,de
k_hlerfrostschutz,item.k_hlerfrostschutz.title,Kühlerfrostschutz,de
kreiss_ge,item.kreiss_ge.title,Kreissäge,de
kronkorken,item.kronkorken.title,Kronkorken,de
kr_uter,item.kr_uter.title,Kräuter,de
kraftfahrzeuge_kraftfahrzeugteile,item.kraftfahrzeuge_kraftfahrzeugteile.title,"Kraftfahrzeuge, Kraftfahrzeugteile",de
korken,item.korken.title,Korken,de
kochtopf,item.kochtopf.title,Kochtopf,de
abbruchh_lzer,item.abbruchh_lzer.title,Abbruchhölzer,de
konvektionsheizungen,item.konvektionsheizungen.title,Konvektionsheizungen,de
kontaminiertes_altholz,item.kontaminiertes_altholz.title,Kontaminiertes Altholz,de
kontaminierter_boden,item.kontaminierter_boden.title,Kontaminierter Boden,de
kondensatoren,item.kondensatoren.title,Kondensatoren,de
konservendosen,item.konservendosen.title,Konservendosen,de
kohle,item.kohle.title,Kohle,de
kohlebriketts,item.kohlebriketts.title,Kohlebriketts,de
kochtopf_1,item.kochtopf_1.title,Kochtopf,de
knochen,item.knochen.title,Knochen,de
kochplatten_felder,item.kochplatten_felder.title,"Kochplatten, -felder",de
klimaanlagen,item.klimaanlagen.title,Klimaanlagen,de
knaller,item.knaller.title,Knaller,de
kleiderb_gel_spannb_gel,item.kleiderb_gel_spannb_gel.title,Kleiderbügel/Spannbügel,de
kleider,item.kleider.title,Kleider,de
kleintierstreu,item.kleintierstreu.title,Kleintierstreu,de
klebstoff,item.klebstoff.title,Klebstoff,de
kisten,item.kisten.title,Kisten,de
klavier,item.klavier.title,Klavier,de
kindersitz_f_r_fahrrad_f_r_auto,item.kindersitz_f_r_fahrrad_f_r_auto.title,"Kindersitz für Fahrrad, für Auto",de
kies,item.kies.title,Kies,de
pizzakartons,item.pizzakartons.title,Pizzakartons,de
kinderelektroauto,item.kinderelektroauto.title,Kinderelektroauto,de
kettens_ge_mit_elektromotor,item.kettens_ge_mit_elektromotor.title,Kettensäge mit Elektromotor,de
kerzen,item.kerzen.title,Kerzen,de
katzenstreu,item.katzenstreu.title,Katzenstreu,de
kesseldruckimpr_gniertes_holz,item.kesseldruckimpr_gniertes_holz.title,Kesseldruckimprägniertes Holz,de
schrott_sperrig,item.schrott_sperrig.title,Schrott (sperrig),de
keramik,item.keramik.title,Keramik,de
gebrauchsgegenst_nde_gro,item.gebrauchsgegenst_nde_gro.title,Gebrauchsgegenstände (groß),de
kleinteiliger_schrott,item.kleinteiliger_schrott.title,Kleinteiliger Schrott,de
kastanienlaub,item.kastanienlaub.title,Kastanienlaub,de
kosmetiktuch,item.kosmetiktuch.title,Kosmetiktuch,de
kastanien,item.kastanien.title,Kastanien,de
kastanienlaub_von_der_miniermotte_befallen,item.kastanienlaub_von_der_miniermotte_befallen.title,"Kastanienlaub, von der Miniermotte befallen",de
kartonagen,item.kartonagen.title,Kartonagen,de
trinkglas,item.trinkglas.title,Trinkglas,de
kassenbons_kassenzettel,item.kassenbons_kassenzettel.title,Kassenbons/ Kassenzettel,de
kartoffelschalen_roh,item.kartoffelschalen_roh.title,Kartoffelschalen (roh),de
karosserieteile,item.karosserieteile.title,Karosserieteile,de
kanu,item.kanu.title,Kanu,de
kanadische_goldrute,item.kanadische_goldrute.title,Kanadische Goldrute,de
kaminofen,item.kaminofen.title,Kaminofen,de
kalziumsilikatplatten,item.kalziumsilikatplatten.title,Kalziumsilikatplatten,de
kalilauge,item.kalilauge.title,Kalilauge,de
kalkputz_gipssputz,item.kalkputz_gipssputz.title,Kalkputz/Gipssputz,de
kajak,item.kajak.title,Kajak,de
k_fig_von_kleintieren,item.k_fig_von_kleintieren.title,Käfig von Kleintieren,de
kaffeepads,item.kaffeepads.title,Kaffeepads,de
kaffeesatz,item.kaffeesatz.title,Kaffeesatz,de
kaffeemaschine,item.kaffeemaschine.title,Kaffeemaschine,de
kaffeekapseln,item.kaffeekapseln.title,Kaffeekapseln,de
kaffeefilter,item.kaffeefilter.title,Kaffeefilter,de
kaffeebecher,item.kaffeebecher.title,Kaffeebecher,de
kadaver,item.kadaver.title,Kadaver,de
kabel,item.kabel.title,Kabel,de
orgel,item.orgel.title,Orgel,de
onduline_bitumenwellplatten,item.onduline_bitumenwellplatten.title,Onduline Bitumenwellplatten,de
ltank,item.ltank.title,Öltank,de
lsand,item.lsand.title,Ölsand,de
lradiator,item.lradiator.title,Ölradiator,de
lfilter,item.lfilter.title,Ölfilter,de
l_und_benzinabscheiderinhalt,item.l_und_benzinabscheiderinhalt.title,Öl- und Benzinabscheiderinhalt,de
l,item.l.title,Öl,de
obstschalen_obstkerne,item.obstschalen_obstkerne.title,Obstschalen/Obstkerne,de
blument_pfe_kunststoff,item.blument_pfe_kunststoff.title,Blumentöpfe (Kunststoff),de
obstkisten,item.obstkisten.title,Obstkisten,de
fen,item.fen.title,Öfen,de
pvc_asbest_platten,item.pvc_asbest_platten.title,PVC-Asbest-Platten,de
putzmittel,item.putzmittel.title,Putzmittel,de
obst,item.obst.title,Obst,de
puppenwagen_karre,item.puppenwagen_karre.title,"Puppenwagen ,-karre",de
pvc_bodenbelag,item.pvc_bodenbelag.title,PVC Bodenbelag,de
baum_und_strauchschnitt,item.baum_und_strauchschnitt.title,Baum- und Strauchschnitt,de
blumenk_sten_kunststoff,item.blumenk_sten_kunststoff.title,Blumenkästen (Kunststoff),de
pu_schaum,item.pu_schaum.title,PU-Schaum,de
power_stationen_f_r_kfz,item.power_stationen_f_r_kfz.title,Power Stationen für KFZ,de
pooltabs,item.pooltabs.title,Pooltabs,de
pop_up_zelt,item.pop_up_zelt.title,Pop up Zelt,de
pool_teichfilter,item.pool_teichfilter.title,Pool-/Teichfilter,de
poller,item.poller.title,Poller,de
pizzakarton,item.pizzakarton.title,Pizzakarton,de
pkw_batterie,item.pkw_batterie.title,Pkw-Batterie,de
photovoltaikanlagen,item.photovoltaikanlagen.title,Photovoltaikanlagen,de
pflastersteine,item.pflastersteine.title,Pflastersteine,de
quecksilber_und_quecksilberhaltige_abf_lle,item.quecksilber_und_quecksilberhaltige_abf_lle.title,Quecksilber und quecksilberhaltige Abfälle,de
pferdesattel,item.pferdesattel.title,Pferdesattel,de
pferdemist,item.pferdemist.title,Pferdemist,de
pfanne,item.pfanne.title,Pfanne,de
kunststofffass,item.kunststofffass.title,Kunststofffass,de
pf_hle,item.pf_hle.title,Pfähle,de
perlitsch_ttung,item.perlitsch_ttung.title,Perlitschüttung,de
paravant,item.paravant.title,Paravant,de
munition_z_b_gaspatronen,item.munition_z_b_gaspatronen.title,"Munition, (z. B. Gaspatronen)",de
pedelecs,item.pedelecs.title,Pedelecs,de
partyzelte,item.partyzelte.title,Partyzelte,de
parkettstaub,item.parkettstaub.title,Parkettstaub,de
parkettfu_boden,item.parkettfu_boden.title,Parkettfußboden,de
getr_nkedosen,item.getr_nkedosen.title,Getränkedosen,de
parathion_e_605_pflanzenschutzmittel,item.parathion_e_605_pflanzenschutzmittel.title,Parathion (E-605)/Pflanzenschutzmittel,de
papierbasierte_legoverpackungsbeutel,item.papierbasierte_legoverpackungsbeutel.title,Papierbasierte Legoverpackungsbeutel,de
pappbecher,item.pappbecher.title,Pappbecher,de
parabolantenne_satellitensch_ssel,item.parabolantenne_satellitensch_ssel.title,Parabolantenne / Satellitenschüssel,de
papiertaschentuch,item.papiertaschentuch.title,Papiertaschentuch,de
papierkaffeebecher,item.papierkaffeebecher.title,Papierkaffeebecher,de
t_rbl_tter,item.t_rbl_tter.title,Türblätter,de
quecksilber,item.quecksilber.title,Quecksilber,de
quarzsand,item.quarzsand.title,Quarzsand,de
papier,item.papier.title,Papier,de
musikkassetten,item.musikkassetten.title,Musikkassetten,de
prospekte,item.prospekte.title,Prospekte,de
papierhandt_cher,item.papierhandt_cher.title,Papierhandtücher,de
mund_nasen_schutz,item.mund_nasen_schutz.title,Mund-Nasen-Schutz,de
mp3_player_walkman,item.mp3_player_walkman.title,MP3-Player / Walkman,de
motorradbatterie,item.motorradbatterie.title,Motorradbatterie,de
motor_l,item.motor_l.title,Motoröl,de
motorrad,item.motorrad.title,Motorrad,de
motorradhelm,item.motorradhelm.title,Motorradhelm,de
moos,item.moos.title,Moos,de
